,N,p_left,p_right
1643964098300.0,22,0.6363636363636364,0.36363636363636365
1643964440100.0,20,0.4,0.6
1643964633800.0,20,0.4,0.6
1643964733800.0,34,0.3235294117647059,0.6764705882352942
1643964833800.0,34,0.35294117647058826,0.6470588235294118
1643964933800.0,40,0.225,0.775
1644015600000.0,1,1.0,0.0
1644015700000.0,2,1.0,0.0
1644015800000.0,4,0.25,0.75
1644015900000.0,3,0.3333333333333333,0.6666666666666666
1644016000000.0,8,0.5,0.5
1644016266300.0,2,1.0,0.0
1644016366300.0,7,0.7142857142857143,0.2857142857142857
1644016466300.0,3,1.0,0.0
1644017273700.0,2,0.0,1.0
1644017375600.0,3,1.0,0.0
1644017475600.0,5,0.8,0.2
1644017575600.0,4,1.0,0.0
1644017675600.0,5,0.6,0.4
1644017775600.0,8,0.75,0.25
1644018102200.0,6,0.6666666666666666,0.3333333333333333
1644018202200.0,9,0.7777777777777778,0.2222222222222222
1644019395100.0,1,0.0,1.0
1644035872400.0,1,1.0,0.0
1644037280900.0,1,1.0,0.0
1644038159900.0,1,1.0,0.0
1644039727600.0,1,1.0,0.0
1644039869800.0,1,1.0,0.0
1644040031900.0,2,0.5,0.5
1644040436600.0,1,1.0,0.0
1644040833400.0,1,0.0,1.0
1644041032100.0,3,0.0,1.0
1644041487100.0,3,1.0,0.0
1644041587100.0,2,1.0,0.0
1644041687100.0,4,1.0,0.0
1644042892100.0,3,0.3333333333333333,0.6666666666666666
1644042992100.0,1,1.0,0.0
1644043331800.0,3,1.0,0.0
1644043633300.0,1,0.0,1.0
1644043746200.0,1,1.0,0.0
1644043846200.0,5,0.6,0.4
1644043946200.0,8,0.625,0.375
1644044046200.0,9,0.6666666666666666,0.3333333333333333
1644044146200.0,13,0.6153846153846154,0.38461538461538464
1644044246200.0,22,0.7272727272727273,0.2727272727272727
1644044473500.0,33,0.7878787878787878,0.21212121212121213
1644044805700.0,1,1.0,0.0
1644045087900.0,1,1.0,0.0
1644045187900.0,4,1.0,0.0
1644045486900.0,2,0.5,0.5
1644045966200.0,1,1.0,0.0
1644046066200.0,8,1.0,0.0
1644046166200.0,15,0.9333333333333333,0.06666666666666667
1644046266200.0,22,0.9545454545454546,0.045454545454545456
1644046549800.0,1,0.0,1.0
1644046898200.0,1,1.0,0.0
1644047002500.0,7,0.8571428571428571,0.14285714285714285
1644047353000.0,1,0.0,1.0
1644047453000.0,2,1.0,0.0
1644047618400.0,6,0.6666666666666666,0.3333333333333333
1644047718400.0,6,0.5,0.5
1644047818400.0,8,0.875,0.125
1644047918400.0,11,0.9090909090909091,0.09090909090909091
1644048070300.0,34,0.9705882352941176,0.029411764705882353
1644048170300.0,44,0.9090909090909091,0.09090909090909091
1644048378000.0,72,0.8194444444444444,0.18055555555555555
1644048774200.0,4,0.75,0.25
1644048874200.0,4,1.0,0.0
1644048974200.0,11,0.5454545454545454,0.45454545454545453
1644049074200.0,13,0.7692307692307693,0.23076923076923078
1644049487500.0,2,1.0,0.0
1644049587500.0,5,0.8,0.2
1644049808300.0,5,0.6,0.4
1644049908300.0,10,0.7,0.3
1644050072100.0,32,0.5,0.5
1644050410800.0,13,0.8461538461538461,0.15384615384615385
1644050607000.0,46,0.6521739130434783,0.34782608695652173
1644050822100.0,21,0.6666666666666666,0.3333333333333333
1644050968000.0,36,0.6388888888888888,0.3611111111111111
1644051068000.0,40,0.575,0.425
1644051168000.0,47,0.6170212765957447,0.3829787234042553
1644051268000.0,64,0.5625,0.4375
1644051368000.0,76,0.5657894736842105,0.4342105263157895
1644102000000.0,4,0.75,0.25
1644102100000.0,6,0.8333333333333334,0.16666666666666666
1644102200000.0,6,0.6666666666666666,0.3333333333333333
1644102300000.0,6,0.5,0.5
1644102400000.0,10,0.8,0.2
1644102666600.0,5,1.0,0.0
1644102766600.0,8,1.0,0.0
1644103167100.0,1,1.0,0.0
1644103560300.0,3,0.3333333333333333,0.6666666666666666
1644104067900.0,3,1.0,0.0
1644104167900.0,3,1.0,0.0
1644104267900.0,4,1.0,0.0
1644104497600.0,3,0.6666666666666666,0.3333333333333333
1644105975100.0,1,0.0,1.0
1644107047600.0,1,1.0,0.0
1644107976400.0,4,1.0,0.0
1644109938500.0,1,0.0,1.0
1644121338600.0,1,1.0,0.0
1644123672100.0,1,0.0,1.0
1644123772100.0,1,0.0,1.0
1644124956400.0,1,0.0,1.0
1644125255100.0,3,1.0,0.0
1644125463100.0,2,0.5,0.5
1644125721800.0,2,0.5,0.5
1644125922800.0,2,0.5,0.5
1644126022800.0,2,0.5,0.5
1644126122800.0,2,0.5,0.5
